TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-26 21:16,'',11.426
2018-09-26 21:32,5.246,''
2018-09-26 21:32,'',11.347
2018-09-26 21:47,5.157,''
2018-09-26 21:47,'',10.476
2018-09-26 22:03,5.831,''
2018-09-26 22:03,'',11.354
2018-09-26 22:18,5.444,''
2018-09-26 22:18,'',11.391
2018-09-26 22:34,5.326,''
2018-09-26 22:34,'',11.142
2018-09-26 22:49,5.243,''
2018-09-26 22:49,'',11.332
2018-09-26 23:05,5.266,''
2018-09-26 23:05,'',10.917
2018-09-26 23:20,5.489,''
2018-09-26 23:20,'',10.992
2018-09-26 23:36,5.404,''
2018-09-26 23:36,'',10.991
2018-09-26 23:51,5.418,''
2018-09-26 23:51,'',11.42
2018-09-27 00:07,4.845,''
2018-09-27 00:07,'',11.252
2018-09-27 00:22,5.287,''
2018-09-27 00:22,'',10.73
2018-09-27 00:38,5.265,''
2018-09-27 00:38,'',11.13
2018-09-27 00:53,5.344,''
2018-09-27 00:53,'',10.902
2018-09-27 01:09,5.277,''
2018-09-27 01:09,'',10.732
2018-09-27 01:24,5.335,''
2018-09-27 01:24,'',10.627
2018-09-27 01:40,5.297,''
2018-09-27 01:40,'',10.693
2018-09-27 01:55,5.239,''
2018-09-27 01:55,'',10.754
2018-09-27 02:11,5.135,''
2018-09-27 02:11,'',10.416
2018-09-27 02:26,5.286,''
2018-09-27 02:26,'',11.21
2018-09-27 02:42,5.283,''
2018-09-27 02:42,'',10.602
2018-09-27 02:57,5.622,''
2018-09-27 02:57,'',11.043
2018-09-27 03:13,5.321,''
2018-09-27 03:13,'',10.846
2018-09-27 03:28,4.807,''
2018-09-27 03:28,'',10.218
2018-09-27 03:44,5.371,''
2018-09-27 03:44,'',10.991
2018-09-27 03:59,5.194,''
2018-09-27 03:59,'',10.956
2018-09-27 04:15,5.404,''
2018-09-27 04:15,'',11.05
2018-09-27 04:30,5.227,''
2018-09-27 04:30,'',10.748
2018-09-27 04:46,5.686,''
2018-09-27 04:46,'',11.04
2018-09-27 05:01,5.373,''
2018-09-27 05:01,'',10.813
2018-09-27 05:17,5.604,''
2018-09-27 05:17,'',10.99
2018-09-27 05:32,5.278,''
2018-09-27 05:32,'',10.627
2018-09-27 05:48,5.253,''
2018-09-27 05:48,'',10.48
2018-09-27 06:03,5.439,''
2018-09-27 06:03,'',11.233
2018-09-27 06:19,5.357,''
2018-09-27 06:19,'',12.173
2018-09-27 06:34,5.635,''
2018-09-27 06:34,'',10.886
2018-09-27 06:50,5.316,''
2018-09-27 06:50,'',10.998
2018-09-27 07:05,5.563,''
2018-09-27 07:05,'',11.902
2018-09-27 07:21,5.344,''
2018-09-27 07:21,'',11.253
